Date,Plot,Fence,Weeded,Subplot - #,Present?,How many?,note
07/11/2018,7,E,Y,11 - 4887,y,1,
07/11/2018,7,E,Y,11 - 4589,y,1,
07/11/2018,7,E,Y,11 - 5004,y,1,
07/10/2018,7,E,Y,11 - 5007,y,1,
07/11/2018,7,E,Y,11 - 5020,y,1,
07/10/2018,7,E,Y,11 - 5021,y,1,
07/10/2018,7,E,Y,8 - 4107,y,1,
07/10/2018,7,E,Y,8 - 7874,y,1,
07/11/2018,7,E,Y,31 - 5494,y,1,
07/10/2018,7,E,Y,10 - 747,y,1,
07/11/2018,7,E,Y,12? - 5124,y,1,
07/11/2018,7,E,Y,12 - 5126,y,1,
07/10/2018,7,E,Y,9 - 5256,y,1,
07/11/2018,7,E,Y,12 - 5142,y,1,
07/11/2018,7,E,Y,11 - 5148,y,1,
07/11/2018,7,E,Y,11 - 5378,y,1,
07/09/2018,7,E,Y,? - 4163,y,1,
07/11/2018,7,E,Y,? - 5371,y,1,
07/10/2018,7,E,Y,11 - 5006,y,1,
07/10/2018,7,E,Y,10 - 4890,y,1,
07/11/2018,7,E,Y,12 - 2429c1,y,1,
07/11/2018,7,E,Y,12 - 2429,y,1,
07/11/2018,7,E,Y,16 - 841,y,1,
07/11/2018,7,E,Y,12 - 824,y,1,
07/10/2018,7,E,Y,10 - 7772,y,1,
07/10/2018,7,E,Y,10 - 7760,y,1,
07/11/2018,7,E,Y,35 - 6738,y,1,
07/11/2018,7,E,Y,11 - 5261,y,1,
07/10/2018,7,E,Y,10 - 5260,y,1,
07/10/2018,7,E,Y,10 - 5260,y,1,
07/11/2018,7,E,Y,12 - 5187,y,1,
07/11/2018,7,E,Y,12 - 5187,y,1,
07/11/2018,7,E,Y,16 - 5158,y,1,
07/10/2018,7,E,Y,10 - 5153,y,1,
07/10/2018,7,E,Y,11 - 5016,y,1,
07/11/2018,7,E,Y,11 - 5030,y,1,
07/10/2018,7,E,Y,11 - 5146,y,1,
07/10/2018,7,E,Y,11 - 5147,y,1,
07/11/2018,7,E,Y,11 - 5149,y,1,
07/10/2018,7,E,Y,8 - 5253,y,1,
07/12/2018,7,E,Y,19 - 2671,y,1,
07/10/2018,7,E,Y,9 - 2492,y,1,
07/11/2018,7,E,Y,15 - 2438,y,1,
07/10/2018,7,E,Y,1 - 784,y,1,
07/09/2018,7,E,Y,1 - 731,y,1,
07/10/2018,7,E,Y,8 - 7866,y,1,
07/09/2018,7,E,Y,1 - 7695,y,1,
07/10/2018,7,E,Y,9 - 5863c2,y,1,
07/09/2018,7,E,Y,1 - 5497,y,1,
07/10/2018,7,E,Y,7 - 5496,y,1,
07/10/2018,7,E,Y,8 - 5406,y,1,
07/09/2018,7,E,Y,7 - 5404,y,1,
07/10/2018,7,E,Y,8 - 5395,y,1,
07/10/2018,7,E,Y,7 - 5381,y,1,
07/10/2018,7,E,Y,9 - 5273,y,1 broken,
07/10/2018,7,E,Y,9 - 5272,y,1,
07/10/2018,7,E,Y,9 - 5267,y,1,
07/10/2018,7,E,Y,9 - 5265,y,1,
07/10/2018,7,E,Y,7 - 5180,y,1,
07/10/2018,7,E,Y,7 - 5176,y,1,
07/10/2018,7,E,Y,8 - 5034,y,1,
07/10/2018,7,E,Y,8 - 4778,y,1,
07/09/2018,7,C,Y,27 - 4148,y,1,
07/09/2018,7,C,Y,24 - 1371,y,1,
07/09/2018,7,C,Y,6 - 1342,y,1,
07/09/2018,7,C,Y,14 - 1321,y,1,
07/09/2018,7,C,Y,23 - 1318,y,1,
07/09/2018,7,C,Y,7 - 5123,y,1,
07/09/2018,7,C,Y,7 - 5143,y,1,
