Date,Plot,Fence,Weeded,Subplot - #,Present?,How many?,note,
06/21/2018,3,C,Y,7-2542,n,0,dust ,
06/21/2018,3,C,Y,3-4210,n,0,dust ,
07/03/2018,3,C,Y,1-4292,y,1,,artr
06/21/2018,3,C,Y,4-4287a,y,1 - broken,,
07/03/2018,3,C,Y,3-5274C3,y,1,,artr
07/03/2018,3,C,Y,30-5275,y,1 - broken,,artr
07/03/2018,3,C,Y,1-5276,y,0.5 - broken,,artr
07/03/2018,3,C,Y,2-5277,y,1 - broken,,artr
07/03/2018,3,C,Y,10-5278,y,1 - broken,,artr
07/03/2018,3,C,Y,1-5280,y,1,not whole,artr
07/03/2018,3,C,Y,1-5281,y,1,not whole,artr
07/03/2018,3,C,Y,1-5283,y,1,,artr
07/03/2018,3,C,Y,1-5288,y,1,,artr
07/03/2018,3,C,Y,?-5290,y,1,,artr
07/03/2018,3,C,Y,?-5298,y,1 - broken,,artr
07/03/2018,3,C,Y,1-5299,y,1,not whole,artr
07/03/2018,3,C,Y,1-5300,y,1,,artr
07/03/2018,3,C,Y,3-5393,y,1,not whole,artr
07/03/2018,3,C,Y,30-5394,y,0.5,,artr
06/21/2018,3,C,Y,9-5457,n,0,dust,
06/21/2018,3,C,Y,16-5458,n,0,dust,
06/21/2018,3,C,Y,16-5463,y,1,,
06/21/2018,3,C,Y,31-5464,n,0,dust,
06/21/2018,3,C,Y,10-5465,y,1 - broken,,
06/21/2018,3,C,Y,24-5473,y,0.5,,
06/21/2018,3,C,Y,2-5963,y,0.5,,
06/21/2018,3,C,Y,1-856,n,0,dust,
06/21/2018,3,C,Y,10-976,n,0,dust,
06/21/2018,3,C,Y,36-1044,n,0,dust,
06/25/2018,3,C,Y,32-1058,y,1 - broken,,
06/21/2018,3,C,Y,7-1068,n,0,,
06/21/2018,3,C,Y,7-1084,y,1.5,,
07/03/2018,3,C,Y,3-1237,y,1,,
07/03/2018,3,C,Y,1-1238,y,0.5 - broken,,artr
07/03/2018,3,C,Y,3-1307,y,1,,artr
07/03/2018,3,C,Y,10-1352,y,1 - broken,,artr
07/03/2018,3,C,Y,30-1370,y,1,,artr
07/03/2018,3,C,Y,3-1379,y,1,,artr
06/21/2018,3,C,Y,17-1581,n,0,dust,
07/03/2018,3,C,Y,2-1730,y,1 - broken,,artr
07/03/2018,3,C,Y,?-1748,y,1 - broken,,artr
07/03/2018,3,C,Y,1-1753,y,1 - broken,,artr
07/03/2018,3,C,Y,1-1784,y,0.5,,artr
07/03/2018,3,C,Y,17-1817,y,1 - broken,,artr
