Date,Plot,Fence,Weeded,Subplot - #,Present?,How many?,note
06/08/2018,3,E,Y,21-5479a,y,3 - some broken,
06/08/2018,3,E,Y,21-5479b,y,3,
06/08/2018,3,E,Y,21-5479c,y,4 - some broken,
06/08/2018,3,E,Y,10-5440b,y,3,
06/08/2018,3,E,Y,NA-951,y,3,
06/08/2018,3,E,Y,8-955,y,1,
06/04/2018,,36,,34-5078a,y,2,It was written 36 in the plot column
06/08/2018,3,E,Y,20-2329b,y,2 - 1 broken,
06/08/2018,3,E,Y,17-2416,y,1,
06/08/2018,3,E,Y,NA-392b,y,3,
06/08/2018,3,E,Y,22-392a,y,3,
06/08/2018,3,E,Y,NA-996,y,3,
06/08/2018,3,E,Y,NA-583,y,3,
06/08/2018,3,E,Y,27-756b,y,3 - some broken,
06/08/2018,3,E,Y,10-5440a,y,3,
06/08/2018,3,E,Y,34-5412b,y,3,
06/08/2018,3,E,Y,34-5412a,y,3,
06/08/2018,3,E,Y,17-5188b,y,3,no asat
06/08/2018,NA,NA,,NA-4329a,y,3,
06/08/2018,3,E,Y,17-5188a,y,3,
06/08/2018,3,E,Y,1-6578,y,3,
06/08/2018,3,E,Y,22-6558,y,3,
06/08/2018,3,E,Y,27-7942,y,1,
06/08/2018,3,E,Y,34-5158,y,3,
06/08/2018,3,E,Y,NA-4934,y,1,
06/08/2018,3,E,Y,23-6595,y,2,
06/08/2018,3,E,Y,27-1666,y,3 - 1 broken,
06/08/2018,3,E,Y,20-756a,y,3 - some broken,
06/08/2018,3,E,Y,20-774b,y,3,
06/08/2018,3,E,Y,20-774a,y,3.5,
06/08/2018,3,E,Y,16-916a,y,2.5 some broken,
06/08/2018,3,E,Y,16-916b,y,3,
06/08/2018,4,E,N,9-827,y,3,
06/08/2018,4,E,N,8-4329b,y,3,
06/08/2018,4,E,N,10-4409,y,3,
06/08/2018,4,E,N,15-4419a,y,3,
06/08/2018,4,E,N,15-4419b,y,3,
06/08/2018,4,E,N,7-4442a,y,3,
06/08/2018,4,E,N,10-4409,y,3,
06/08/2018,4,E,N,3-5684,y,2,
06/08/2018,4,E,N,NA-5040,y,1,
06/08/2018,4,E,N,14-5080,y,1,
06/08/2018,4,E,N,8-5105,y,3,
06/08/2018,4,E,N,16-1791,y,3,
06/08/2018,4,E,N,21-2948,y,3,
06/08/2018,4,E,N,28-3428,y,3,
06/08/2018,4,E,N,7-4452,y,3,
06/08/2018,4,E,N,23-1810,y,1.5,
06/08/2018,4,E,N,23-1637,y,1,
06/08/2018,4,E,N,21-579,y,2 - 1 broken,
06/08/2018,4,E,N,28-3037,y,3,
06/08/2018,4,E,N,14-989,y,3,
06/08/2018,4,E,N,28-3031,y,3,
06/08/2018,4,E,N,8-2965,y,2,
06/08/2018,4,E,N,28-3514,y,2,
06/08/2018,4,E,N,8-2703,y,2,
06/14/2018,5,E,N,22-5229,y,2 - broken,
06/14/2018,5,E,N,20-4000a,y,3,
06/14/2018,5,E,N,22-4114a,y,4 - some broken,
06/14/2018,5,E,N,22-4114b,y,3.5,
06/12/2018,5,E,N,14-4177,y,3,
06/14/2018,5,E,N,21-2508,y,2,
06/14/2018,5,E,N,19-2547a,y,3,
06/14/2018,5,E,N,19-2547b,y,4,
06/12/2018,5,E,N,16-2563a,y,2.5,
06/12/2018,5,E,N,16-2563b,y,3,
06/14/2018,5,E,N,31-2573a,y,3,
06/14/2018,5,E,N,31-2573b,y,3,
06/12/2018,5,E,N,9?-3733,y,3,
06/14/2018,5,E,N,33-2829,y,3,
06/12/2018,5,E,N,NA-2912a,y,3,
06/12/2018,5,E,N,9-86a,y,3,
06/12/2018,5,E,N,NA-1374a,y,3 - some broken,
06/12/2018,5,E,N,10-1374b,y,3 - some broken,
06/14/2018,5,E,N,22-482,y,4,
06/12/2018,5,E,N,14-889,y,3,
06/14/2018,5,E,N,31-4265a,y,3,
06/14/2018,5,E,N,31-4265b,y,3,
06/14/2018,5,E,N,33-444b,y,3,
06/14/2018,5,E,N,34-4323,y,3,
06/12/2018,5,E,N,9-4490a,y,3,
06/12/2018,5,E,N,10-4547a,y,3,
06/12/2018,5,E,N,10-4547b,y,3 - 1 broken,
06/14/2018,5,E,N,21-4576a,y,3,
06/14/2018,5,E,N,21-4576b,y,3,
06/14/2018,5,E,N,27-4630,y,3,
06/14/2018,5,E,N,33-5877b,y,3,
06/14/2018,5,E,N,33-5877a,y,3,
06/12/2018,5,E,N,9-5904a,y,3,
